Run,Training Time (s),RMSE_2020,MAE_2020,Rº†_2020,NMAE_2020,NRMSE_2020,RMSE_2021,MAE_2021,Rº†_2021,NMAE_2021,NRMSE_2021,RMSE_2022,MAE_2022,Rº†_2022,NMAE_2022,NRMSE_2022
1,0.293660402,3695.120634,3026.926222,0.939499667,0.084066821,0.102624584,4305.435035,3592.127035,0.923278746,0.097773052,0.117188373,3958.330115,3076.797845,0.929242398,0.083660089,0.107629511
2,0.286537409,2981.844144,2391.024477,0.960602342,0.066405922,0.082814756,3506.883159,3066.65058,0.949099247,0.083470262,0.095452824,3253.373892,2778.242276,0.952201195,0.075542173,0.088461304
3,0.298478603,3426.388985,2719.205299,0.94797958,0.075520488,0.0951611,3797.552953,3257.330393,0.940311689,0.08866032,0.103364479,3593.17042,2946.895798,0.941695145,0.080127969,0.097700587
4,0.298336506,3013.043107,2471.394216,0.959773596,0.068638031,0.083681245,3554.795692,3125.530179,0.947698891,0.085072889,0.096756941,3223.836674,2690.857831,0.953065181,0.073166134,0.087658168
5,0.291111469,2791.495116,2269.034306,0.965471774,0.063017889,0.077528193,3502.445707,2939.19673,0.949227981,0.080001133,0.095332042,3761.173387,3330.900296,0.936115456,0.090569296,0.102268695
6,0.296573162,2976.90037,2449.207126,0.960732873,0.068021829,0.082677453,3663.987914,3123.982453,0.94443649,0.085030762,0.099729012,3198.986886,2650.600176,0.953785952,0.072071503,0.086982486
7,0.301630974,3043.909502,2427.976499,0.958945195,0.06743219,0.084538497,3670.01284,3199.654776,0.944253606,0.087090464,0.099893002,3351.958191,2909.198935,0.949260489,0.079102968,0.091141873
8,0.307928085,3164.359414,2600.461851,0.955631767,0.072222626,0.087883753,3647.175766,3159.97902,0.944945224,0.086010542,0.099271407,3321.726394,2736.249187,0.950171616,0.074400354,0.090319852
9,0.295283556,3447.071811,2772.370023,0.947349659,0.076997032,0.095735524,3879.478195,3346.312626,0.937708579,0.091082301,0.105594378,3671.803604,2804.149017,0.939115327,0.076246594,0.099838673
10,0.284358263,3057.167916,2496.998897,0.958586769,0.069349149,0.084906723,3698.947899,3197.841702,0.943371111,0.087041115,0.100680577,3308.867327,2629.216948,0.950556661,0.07149008,0.089970205
,0.295389843,3159.7301,2562.459892,0.955457322,0.071167198,0.087755183,3722.671516,3200.860549,0.942433156,0.087123284,0.101326303,3464.322689,2855.310831,0.945520942,0.077637716,0.094197135
