Run,Training Time (s),RMSE_2020,MAE_2020,R²_2020,NMAE_2020,NRMSE_2020,RMSE_2021,MAE_2021,R²_2021,NMAE_2021,NRMSE_2021,RMSE_2022,MAE_2022,R²_2022,NMAE_2022,NRMSE_2022
1,6.768304347991943,5579.6454245540335,4243.0283203125,0.8620525339421108,0.11784162395868049,0.1549634902966291,7510.935479728231,5261.61422001008,0.7665092534368259,0.14321433328332625,0.2044379485239604,7959.572364918513,6125.906615423386,0.713892950735283,0.16656729373370308,0.2164258307111683
2,6.760416269302368,5255.710859290477,4068.165574596774,0.8776050626868418,0.11298516098708823,0.14596685573629337,6068.084724716651,5070.551392389113,0.8476000294846586,0.1380138502511606,0.16516541726910694,5921.116722360758,4516.31595892137,0.8416725081082046,0.12280150092883424,0.16099892640247845
3,6.7516467571258545,9330.059497759281,6472.334267893145,0.6142824927940289,0.17975613720998493,0.2591237389539951,9324.682950576702,6703.654977318548,0.6401265895596082,0.1824648174484157,0.2538058086369326,7801.104484207075,5761.009992439515,0.7251718106246443,0.1566455226721,0.21211698833225207
4,6.772088289260864,5265.5782782942715,3873.9036983366937,0.8771450465666786,0.1075899259701176,0.14624090356060823,7741.738818968975,4884.238886088709,0.7519389131228145,0.13294266482090175,0.21072011687891537,7929.411518288097,4966.122901965725,0.7160571076174207,0.13503203755126525,0.2156057381248241
5,6.7611987590789795,4906.572304937949,3851.69921875,0.8933264050791594,0.10697324096683186,0.1362702307963831,6277.56727787034,4504.405960181451,0.8368960935644054,0.12260410388346403,0.17086726140475264,5614.906406971615,4366.905147429436,0.8576248710595542,0.11873892601753715,0.15267287333805576
6,6.7883899211883545,6051.352347381457,4347.567319808468,0.8377422658945116,0.12074498555272077,0.16806420648851197,6091.9612632233475,4641.522706653225,0.8463983512535016,0.1263362443648497,0.1658153057634678,5110.253350545393,3831.205002520161,0.8820673790134526,0.10417289865341883,0.13895103603943934
7,6.770484685897827,6578.736930907392,5169.726436491936,0.8082278375655115,0.1435788103939555,0.18271125833022378,9073.790051053851,6886.988983744959,0.659231797176871,0.1874549319647303,0.24697682843651478,8580.915721050513,6605.840294228831,0.6674810807456115,0.17961699544626475,0.23332055141254984
8,6.78668999671936,5352.534308118309,3877.889679939516,0.8730538763068915,0.10770062863568722,0.14865593334450308,6062.552424932079,4752.157881804435,0.84787779026853,0.12934759072823515,0.1650148352248822,6520.773777013853,4997.505827872983,0.807979606833489,0.1358853592497476,0.17730398278554674
9,6.770236253738403,5093.479552978399,3793.3397019909276,0.8850445253341352,0.10535242212963249,0.14146120572655094,6852.174393620236,5266.727413054436,0.8056706373429321,0.14335350778418787,0.18650732385346228,6996.233821068158,5198.897788558468,0.7789565153019263,0.14136133464033673,0.190232043526342
10,6.788617134094238,6702.764510589586,4738.256300403225,0.8009287938050252,0.13159559046517086,0.18615587625451283,9633.462258870662,7309.108033014113,0.6158981387101681,0.19894446648388353,0.26221038200926955,11078.20719895532,8087.344953377017,0.4457725210746819,0.21990004858763723,0.30122349366301615
