Year,Predictions,Actuals
2020,25845.955,26904.0
2020,57503.57,62600.0
2020,43785.254,42536.0
2020,43634.496,41624.0
2020,41326.59,43704.0
2020,58820.875,60680.0
2020,41799.242,47016.0
2020,41802.082,44144.0
2020,41378.62,47712.0
2020,43816.22,47280.0
2020,43218.13,46264.0
2020,28980.54,26728.0
2020,43328.484,43168.0
2020,43735.24,42056.0
2020,13694.463,15944.0
2020,42674.516,43768.0
2020,29050.03,30144.0
2020,28533.098,29064.0
2020,41688.594,46368.0
2020,10145.719,11472.0
2020,12754.536,8752.0
2020,42094.676,40784.0
2020,45122.805,40416.0
2020,58366.34,60608.0
2020,27421.045,31424.0
2020,30169.695,31448.0
2020,27662.625,24624.0
2020,11910.106,10176.0
2020,12532.708,10192.0
2020,12986.605,13592.0
2020,43785.39,45000.0
2021,26839.059,32127.6
2021,58943.965,58047.8
2021,44777.125,47945.4
2021,44729.79,46953.2
2021,41871.53,42049.6
2021,60160.906,64247.0
2021,42561.13,46953.2
2021,42956.582,43886.4
2021,41985.37,44509.6
2021,44339.797,46674.4
2021,43758.06,47929.0
2021,29939.857,31422.4
2021,44070.3,49118.0
2021,44372.508,44329.2
2021,14571.496,9528.4
2021,43974.656,41623.2
2021,30077.64,27962.0
2021,29367.174,30594.2
2021,42205.58,48298.0
2021,10787.43,11340.6
2021,13385.488,10258.2
2021,42931.246,44804.8
2021,46177.324,41000.0
2021,59770.65,61828.0
2021,27882.166,25903.8
2021,30713.137,26674.6
2021,28246.693,26797.6
2021,12549.466,15448.8
2021,12909.971,8954.4
2021,13718.545,13005.2
2021,45243.246,48708.0
2022,27584.146,29828.4
2022,59378.152,60009.6
2022,45172.492,42361.2
2022,44927.89,45922.8
2022,42388.465,46737.6
2022,60718.613,58993.2
2022,42698.766,47014.8
2022,42722.656,49938.0
2022,42282.3,47098.8
2022,44819.633,45318.0
2022,43953.688,44293.2
2022,30867.148,32180.4
2022,44556.85,46880.4
2022,44562.418,42831.6
2022,15093.66,10760.4
2022,44364.387,42075.6
2022,30280.893,27636.0
2022,29421.44,32701.2
2022,42135.547,42352.8
2022,11213.151,12524.4
2022,13903.117,11180.4
2022,43797.363,48249.6
2022,46572.234,44973.6
2022,59977.62,62092.8
2022,28686.633,27518.4
2022,30860.209,29240.4
2022,28675.477,26056.8
2022,13270.4,13414.8
2022,13509.367,13641.6
2022,14106.446,12516.0
2022,45813.297,43755.6
