Run,Training_Time (s),RMSE_2020,MAE_2020,Rº†_2020,NMAE_2020,NRMSE_2020,RMSE_2021,MAE_2021,Rº†_2021,NMAE_2021,NRMSE_2021,RMSE_2022,MAE_2022,Rº†_2022,NMAE_2022,NRMSE_2022
1,0.289477587,2558.6787,2196.3499,0.97099105,0.060999222,0.07106218,3024.0015,2603.0918,0.962151768,0.07085279,0.0823094,2624.2537,2212.5034,0.968899978,0.06015937,0.07135512
2,0.283332348,2731.5483,2392.8748,0.966938826,0.06645731,0.07586329,3132.6265,2712.182,0.959383839,0.07382207,0.08526603,2643.1125,2208.891,0.968451379,0.06006115,0.071867906
3,0.28328681,2439.3252,2144.3914,0.973634263,0.05955618,0.06774738,2858.5986,2457.9446,0.96617888,0.066902064,0.07780735,2586.2866,2210.4355,0.969793359,0.06010314,0.07032277
4,0.281079531,2639.0635,2330.236,0.969139693,0.06471764,0.07329471,3032.4197,2627.445,0.961940753,0.07151565,0.08253854,2532.5747,2158.061,0.971034993,0.058679044,0.06886231
5,0.282567739,2508.2888,2182.0696,0.972122387,0.060602617,0.0696627,2963.7024,2518.0198,0.963646117,0.068537235,0.08066814,2685.1438,2314.3735,0.967440016,0.06292928,0.07301076
6,0.279118776,2497.756,2162.008,0.972356016,0.060045447,0.06937017,3035.4998,2551.1401,0.961863395,0.06943873,0.08262237,2638.9924,2233.2236,0.968549665,0.060722765,0.07175587
7,0.279177666,2878.6045,2486.653,0.96328322,0.06906181,0.07994748,3279.0103,2814.6614,0.955499259,0.07661144,0.08925041,2701.6472,2198.6926,0.967038545,0.059783846,0.0734595
8,0.281537771,2527.592,2207.74,0.971691656,0.06131556,0.07019881,2992.7637,2548.1145,0.96292967,0.069356374,0.08145915,2597.658,2209.4744,0.969527148,0.060077008,0.070631966
9,0.282327175,2535.277,2235.5947,0.97151925,0.062089168,0.07041225,2884.4072,2503.0227,0.965565423,0.06812903,0.07850983,2526.43,2147.994,0.971175383,0.058405314,0.06869523
10,0.282925367,2470.2,2111.7983,0.972962612,0.05865097,0.06860486,2894.6077,2437.5283,0.965321444,0.06634636,0.07878747,2679.671,2281.1885,0.967572614,0.06202696,0.07286195
,0.282483077,2578.6334,2244.97157,0.970463897,0.062349592,0.071616383,3009.76374,2577.31502,0.962448055,0.070151174,0.081921869,2621.57699,2217.48375,0.968948308,0.060294788,0.071282338
